Geneid	baseMean4µ8C	log2FoldChange4µ8C	lfcSE4µ8C	stat4µ8C	pvalue4µ8C	padj4µ8C	gene_name	baseMeanCov2	log2FoldChangeCov2	lfcSECov2	statCov2	pvalueCov2	padjCov2
ENSG00000171680	143.144866223799	1.1216593582596106	0.21345709815410477	5.254729723018308	1.482420073268596e-7	1.0521566861491742e-6	PLEKHG5	143.144866223799	0.7941806843480833	0.22033855497952298	3.604365493010926	3.1291645164793514e-4	0.005240512994300858
ENSG00000204859	604.9999293814438	1.007244373337824	0.1981104328710068	5.084257092071767	3.6906775459334273e-7	2.4489356317390843e-6	ZBTB48	604.9999293814438	0.9162902868680795	0.19945295083507283	4.594017200706936	4.3479351648037525e-6	1.863298680763296e-4
ENSG00000116285	4016.081936080368	0.9448286599596788	0.24209564089145394	3.902708270502493	9.512232650702609e-5	4.100029961078521e-4	ERRFI1	4016.081936080368	0.8747496213334567	0.24225983073698285	3.6107910200067654	3.0526456064852757e-4	0.005165989811721467
ENSG00000171621	608.1492489026149	0.7157434910108985	0.17032491568277727	4.202224249703664	2.6430510994274224e-5	1.2685268688137342e-4	SPSB1	608.1492489026149	0.6318368729408057	0.1720347547855016	3.672728070142571	2.3997480986678028e-4	0.004327222645636895
ENSG00000171608	427.433979984486	0.8005813079395664	0.19991247831421793	4.004659012236498	6.210700283527389e-5	2.767039634780252e-4	PIK3CD	427.433979984486	0.5518345992079532	0.2024383147843499	2.725939503081728	0.006411874925801179	0.04812598252849427
ENSG00000116809	811.5271908684961	0.5729639843240663	0.16152244967215065	3.547271512331796	3.892432205803284e-4	0.001479124238205248	ZBTB17	811.5271908684961	0.9679183583184727	0.16201010344825334	5.974432073785013	2.3089311156389498e-9	3.196132788568536e-7
ENSG00000125945	700.4884581924744	1.4296294244614578	0.2426372549789685	5.8920441734529865	3.81447169189852e-9	3.3703897697973504e-8	ZNF436	700.4884581924744	0.9592642948194822	0.243970117989375	3.9318925724389677	8.427972881612065e-5	0.0019808129808260165
ENSG00000158014	197.06043029811931	9.968482451226738	0.5230791471818991	19.057311890432196	5.713588786515899e-81	3.9488040500808003e-78	SLC30A2	197.06043029811931	3.196180253225176	0.6140724843105877	5.204890847394818	1.9411066775117483e-7	1.4527651028535294e-5
ENSG00000090020	2580.8088495361617	0.7544811278677043	0.08565297533919883	8.808580494487718	1.2674053911417124e-18	3.3368973369631086e-17	SLC9A1	2580.8088495361617	0.2632339443855019	0.08698562297361759	3.026177607135604	0.002476667780820835	0.02456565467824953
ENSG00000126705	1782.3309222401062	0.37297997988654563	0.14976112411192935	2.4904993341782453	0.012756373481453153	0.032854309527869795	AHDC1	1782.3309222401062	0.5710364651796784	0.15021329634549818	3.801504121620936	1.4382034592104562e-4	0.0029541613741954627
