Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
ENSG00000062282	399.8010906809	1.1852553099390355	0.21433832466706798	5.529833788614772	3.2053434624466254e-8	2.121456570620299e-4	DGAT2
ENSG00000109107	231.14916974227995	1.5939176380286142	0.2939217266978442	5.422932343028811	5.8629188055407405e-8	2.586915207631426e-4	ALDOC
ENSG00000160752	12220.4124528463	1.0824507581409846	0.22791510222734113	4.749359509582914	2.040618997495968e-6	0.005402334733970826	FDPS
ENSG00000120437	4102.732031402392	0.8930976277908584	0.19026702908630921	4.6939169233873415	2.6802291493244297e-6	0.005913032208267912	ACAT2
ENSG00000149809	793.9040916704002	0.9310839620359582	0.20155531493612167	4.619495954899745	3.846733791767229e-6	0.0072741736002318305	TM7SF2
ENSG00000176046	803.2121552340719	1.0944992790776953	0.269023192075761	4.0684197917385045	4.733304875417245e-5	0.04584999753049323	NUPR1
ENSG00000268621	602.6976425028064	0.9539533400186513	0.23423603586700487	4.072615626744509	4.6488108615280215e-5	0.04584999753049323	IGFL2-AS1
ENSG00000025039	488.395318635681	0.9290331095961264	0.23445044042806087	3.9625991228674713	7.413820992239995e-5	0.0545204158190449	RRAGD
ENSG00000119655	3719.2619610884517	0.7716400181960079	0.19437850496453576	3.969780600672863	7.193884256246943e-5	0.0545204158190449	NPC2
ENSG00000265962	924.3090889168907	0.8301793449973559	0.21724778170564293	3.821347856716883	1.3272428512859483e-4	0.08366054105939094	GACAT2
