Geneid	baseMeanDTT	log2FoldChangeDTT	lfcSEDTT	statDTT	pvalueDTT	padjDTT	gene_name	baseMeanCov2	log2FoldChangeCov2	lfcSECov2	statCov2	pvalueCov2	padjCov2
ENSG00000237973	354.40381006352027	0.5156487029313851	0.21601120380464253	2.3871386939620525	0.016980084038084965	0.0638619434650735	MTCO1P12	354.40381006352027	1.1295145571395098	0.21080854106138108	5.358011356905265	8.414295247887863e-8	4.833507762196704e-6
ENSG00000248527	5267.80535510907	0.6292924046456917	0.23864333095269988	2.6369578489097614	0.008365322555785462	0.037840681990587814	MTATP6P1	5267.80535510907	0.9367065890139079	0.238413645140866	3.92891350014995	8.533052399924449e-5	0.0015486515409637936
ENSG00000130762	2929.182129530657	0.2983030379245623	0.1255308448839587	2.3763325914066384	0.017485693901544856	0.06520917253649339	ARHGEF16	2929.182129530657	0.3247791023633887	0.12490942664101738	2.600116829427017	0.009319202748398717	0.054804697243961496
ENSG00000040487	616.8200420578285	0.441043404964413	0.12645347700254334	3.4877918379068564	4.8702709250863575e-4	0.004449193732978411	SLC66A1	616.8200420578285	0.31766492849845956	0.12431700365070619	2.5552814109886652	0.01061019791911055	0.06031307752802949
ENSG00000175707	1342.5490460562082	0.35756692182152783	0.13695233436074075	2.610885922394538	0.009030801291444405	0.039827094046347246	KDF1	1342.5490460562082	0.44851298518983956	0.13561447176642297	3.3072649205340023	9.421174862408603e-4	0.00971385829027633
ENSG00000160051	367.86057006178044	0.656664468294801	0.15444134875453686	4.251869551712335	2.1199333708246537e-5	3.6594256760143744e-4	IQCC	367.86057006178044	0.421606662138867	0.15238419374598916	2.766734867801628	0.00566207829024161	0.03750399870276765
ENSG00000116514	936.9651051867089	0.32826195380364936	0.12565085551446512	2.6124927877300395	0.008988458881054972	0.03970821606683457	RNF19B	936.9651051867089	0.4161119484162654	0.12353935011733157	3.3682543094249957	7.564578520577344e-4	0.008192678139819852
ENSG00000163874	946.8118099152458	0.4800944878759129	0.13536116740951362	3.546766750492507	3.8998970772994185e-4	0.003736482836576493	ZC3H12A	946.8118099152458	1.8396816808063088	0.13025606845723772	14.123577523839245	2.7183345924362155e-45	2.7884287915697492e-42
ENSG00000183386	746.0798464962509	0.5397439099768763	0.18969799302162663	2.845280023154185	0.00443723960037596	0.02359454480432021	FHL3	746.0798464962509	0.7156986882156452	0.1878778934248727	3.8093821213821184	1.393145067599387e-4	0.0022379145767108277
ENSG00000173846	484.4774106840026	0.5812529160457739	0.14455347724895307	4.021023410213286	5.794584540434089e-5	8.254217757505192e-4	PLK3	484.4774106840026	1.2966656120441311	0.1384754269265509	9.363867949884702	7.686988148447475e-21	3.679761226661806e-18
ENSG00000198841	187.00910615462206	0.47770600086217196	0.1601593377859242	2.9826921581100327	0.0028572522333391846	0.016883556710276595	KTI12	187.00910615462206	0.6553126338793587	0.15113929058754766	4.335819172710539	1.4521829020318313e-5	3.6018650528634073e-4
ENSG00000116212	1398.808114373714	0.375299035024587	0.12349936873195724	3.03887411634577	0.002374640573492457	0.014725244148961635	LRRC42	1398.808114373714	0.4237722719804003	0.12216698804379779	3.468795283947532	5.227976572602709e-4	0.006148973919668101
ENSG00000177606	3987.753568256408	1.4683304090179214	0.5889796717752539	2.493006939598104	0.012666637059789992	0.051115509052329484	JUN	3987.753568256408	1.7297312548811226	0.5888865727961322	2.9372910417503126	0.003310932154706689	0.02519782547628127
ENSG00000162650	237.09417340362876	0.5605197080275062	0.16608000166156264	3.374998208211315	7.381617145679119e-4	0.006069939452134651	ATXN7L2	237.09417340362876	0.46089541884241736	0.16180838002873124	2.8484026523260364	0.004393929349754571	0.03128967736136858
